year,dengue,malaria,avianflu,sars,chikunguniya
2001,663.0,266.0,0.0,0.0,0.0
2002,3938.0,175.0,0.0,0.0,0.0
2003,4732.0,115.0,0.0,239.0,0.0
2004,9302.0,153.0,0.0,0.0,0.0
2005,13797.0,155.0,0.0,0.0,0.0
2006,3058.0,189.0,0.0,0.0,0.0
2007,8664.0,159.0,0.0,0.0,0.0
2008,6768.0,159.0,0.0,0.0,0.0
2009,4480.0,172.0,0.0,0.0,375.0
2010,5358.0,190.0,0.0,0.0,34.0
2011,5322.0,152.0,0.0,0.0,16.0
2012,4602.0,143.0,0.0,0.0,22.0
2013,22101.0,111.0,0.0,0.0,1059.0
2014,18306.0,62.0,0.0,0.0,185.0
2015,11291.0,49.0,0.0,0.0,43.0
2016,13153.0,30.0,1.0,0.0,39.0
