year,week,dengue,malaria,avianflu,sars,chikunguniya
2001,1,17,8,0,0,0
2001,2,10,4,0,0,0
2001,3,15,6,0,0,0
2001,4,14,7,0,0,0
2001,5,13,5,0,0,0
2001,6,19,3,0,0,0
2001,7,4,3,0,0,0
2001,8,16,4,0,0,0
2001,9,14,6,0,0,0
2001,10,11,2,0,0,0
2001,11,3,8,0,0,0
2001,12,12,9,0,0,0
2001,13,6,4,0,0,0
2001,14,4,11,0,0,0
2001,15,8,6,0,0,0
2001,16,8,2,0,0,0
2001,17,12,7,0,0,0
2001,18,11,7,0,0,0
2001,19,7,9,0,0,0
2001,20,13,5,0,0,0
2001,21,7,6,0,0,0
2001,22,8,10,0,0,0
2001,23,14,5,0,0,0
2001,24,10,4,0,0,0
2001,25,11,5,0,0,0
2001,26,21,2,0,0,0
2001,27,13,6,0,0,0
2001,28,12,9,0,0,0
2001,29,13,5,0,0,0
2001,30,17,4,0,0,0
2001,31,23,4,0,0,0
2001,32,11,6,0,0,0
2001,33,20,4,0,0,0
2001,34,20,8,0,0,0
2001,35,10,7,0,0,0
2001,36,11,6,0,0,0
2001,37,7,9,0,0,0
2001,38,27,5,0,0,0
2001,39,18,2,0,0,0
2001,40,13,5,0,0,0
2001,41,14,2,0,0,0
2001,42,11,2,0,0,0
2001,43,8,0,0,0,0
2001,44,14,3,0,0,0
2001,45,11,6,0,0,0
2001,46,15,4,0,0,0
2001,47,18,3,0,0,0
2001,48,8,5,0,0,0
2001,49,8,2,0,0,0
2001,50,13,6,0,0,0
2001,51,22,2,0,0,0
2001,52,18,3,0,0,0
2002,1,20,4,0,0,0
2002,2,23,7,0,0,0
2002,3,23,6,0,0,0
2002,4,19,2,0,0,0
2002,5,20,3,0,0,0
2002,6,18,3,0,0,0
2002,7,12,0,0,0,0
2002,8,27,3,0,0,0
2002,9,19,1,0,0,0
2002,10,12,3,0,0,0
2002,11,32,4,0,0,0
2002,12,17,3,0,0,0
2002,13,25,0,0,0,0
2002,14,41,5,0,0,0
2002,15,40,3,0,0,0
2002,16,33,7,0,0,0
2002,17,41,5,0,0,0
2002,18,45,4,0,0,0
2002,19,64,3,0,0,0
2002,20,58,1,0,0,0
2002,21,79,4,0,0,0
2002,22,55,3,0,0,0
2002,23,50,4,0,0,0
2002,24,58,3,0,0,0
2002,25,62,4,0,0,0
2002,26,54,4,0,0,0
2002,27,91,11,0,0,0
2002,28,105,2,0,0,0
2002,29,113,4,0,0,0
2002,30,114,2,0,0,0
2002,31,136,3,0,0,0
2002,32,83,0,0,0,0
2002,33,154,3,0,0,0
2002,34,147,2,0,0,0
2002,35,156,5,0,0,0
2002,36,144,4,0,0,0
2002,37,159,2,0,0,0
2002,38,139,4,0,0,0
2002,39,129,3,0,0,0
2002,40,124,2,0,0,0
2002,41,141,2,0,0,0
2002,42,121,0,0,0,0
2002,43,110,7,0,0,0
2002,44,101,2,0,0,0
2002,45,95,3,0,0,0
2002,46,99,6,0,0,0
2002,47,96,2,0,0,0
2002,48,96,6,0,0,0
2002,49,72,3,0,0,0
2002,50,87,2,0,0,0
2002,51,115,4,0,0,0
2002,52,64,2,0,0,0
2003,1,68,0,0,0,0
2003,2,104,2,0,0,0
2003,3,96,3,0,0,0
2003,4,86,3,0,0,0
2003,5,89,3,0,0,0
2003,6,64,1,0,0,0
2003,7,89,2,0,0,0
2003,8,89,1,0,0,0
2003,9,100,2,0,2,0
2003,10,62,1,0,2,0
2003,11,93,1,0,23,0
2003,12,86,2,0,52,0
2003,13,65,2,0,31,0
2003,14,98,5,0,28,0
2003,15,65,1,0,54,0
2003,16,55,3,0,28,0
2003,17,76,2,0,14,0
2003,18,38,0,0,3,0
2003,19,81,2,0,0,0
2003,20,96,0,0,1,0
2003,21,127,2,0,0,0
2003,22,190,4,0,0,0
2003,23,257,1,0,0,0
2003,24,165,3,0,0,0
2003,25,165,2,0,0,0
2003,26,131,3,0,0,0
2003,27,144,2,0,0,0
2003,28,128,4,0,0,0
2003,29,78,3,0,0,0
2003,30,75,5,0,0,0
2003,31,62,1,0,0,0
2003,32,63,3,0,0,0
2003,33,63,3,0,0,0
2003,34,83,5,0,0,0
2003,35,93,4,0,0,0
2003,36,50,2,0,0,0
2003,37,79,4,0,1,0
2003,38,61,0,0,0,0
2003,39,78,1,0,0,0
2003,40,67,4,0,0,0
2003,41,75,4,0,0,0
2003,42,67,2,0,0,0
2003,43,74,2,0,0,0
2003,44,98,3,0,0,0
2003,45,100,4,0,0,0
2003,46,94,0,0,0,0
2003,47,90,1,0,0,0
2003,48,60,1,0,0,0
2003,49,67,1,0,0,0
2003,50,94,3,0,0,0
2003,51,83,0,0,0,0
2003,52,71,2,0,0,0
2004,1,81,3,0,0,0
2004,2,83,2,0,0,0
2004,3,56,0,0,0,0
2004,4,80,1,0,0,0
